OriginalCountry,Country
Antigua and Barbuda,Antigua And Barbuda
Bosnia and Herzegovina,Bosnia And Herzegovina
Côte d'Ivoire,Côte D'Ivoire
DR Congo,Dr Congo
State of Palestine,State Of Palestine
Trinidad and Tobago,Trinidad And Tobago
